No.,storeNumber,countryCode,ownershipTypeCode,latitude,longitude,address,city,countrySubdivisionCode,postalCode,windowsTimeZoneId,GMT,GMT_region,Mon_open,Mon_close,Tue_open,Tue_close,Wed_open,Wed_close,Thu_open,Thu_close,Fri_open,Fri_close,Sat_open,Sat_close,Sun_open,Sun_close
16326,30175-33819,JP,CO,35.671263,139.73923200000002,2-17-1 Akasaka,minato-ku,13,107-0052,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16327,55273-286614,JP,CO,35.673096,139.723491,1-2-3 Kitaaoyama,minato-ku,13,107-0061,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16328,32408-137346,JP,CO,35.672976,139.736699,5-3-1 Akasaka,minato-ku,13,107-6302,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16329,30430-78924,JP,CO,35.650416,139.721804,5-14-5 Hiroo,shibuya-ku,13,150-0012,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16330,30015-9921,JP,CO,35.669975,139.717367,2-26-3 Minamiaoyama,minato-ku,13,107-0062,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16331,62133-295222,JP,CO,35.664679,139.745115,4-1-1 Toranomon,minato-ku,13,105-6901,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16332,51833-267934,JP,CO,35.669896,139.742368,1-8-1 Akasaka,minato-ku,13,107-0052,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16333,30100-13422,JP,CO,35.673278,139.740242,2-11-1 Nagatacho,chiyoda-ku,13,100-0014,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16334,30041-11580,JP,CO,35.664685999999996,139.711618,3-6-17 Kitaaoyama,minato-ku,13,107-0061,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16335,30042-11581,JP,CO,35.662804,139.711004,5-10-1 Minamiaoyama,minato-ku,13,107-0062,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
